1549292334.26,1549292335.88,6_4,1_2,9_0,4_1,4_2,6_4,1_2,9_0,4_1,4_2,9_2,6_4,1_2,9_0,4_1,1549292334.055979,1549292337.163684,1_2,False,1549292337.163744,1549292337.163744
1549292347.96,1549292349.32,6_4,1_2,9_0,4_1,4_2,6_4,1_2,9_0,4_1,4_2,9_2,6_4,1_2,9_0,4_1,1549292347.474454,1549292349.997446,1_2,False,1549292349.997567,1549292349.997567
1549292359.55,1549292361.26,4_2,4_1,5_1,1_1,9_0,4_2,4_1,5_1,1_1,9_0,4_2,4_1,5_1,1_1,9_0,1549292359.411542,1549292361.737052,4_1,False,1549292361.7371,1549292361.7371
1549292388.62,1549292390.26,6_4,9_0,5_1,5_3,2_1,6_4,9_0,5_1,10_1,2_1,9_2,6_4,9_0,5_1,10_1,1549292388.410315,1549292390.585098,9_0,False,1549292390.585249,1549292390.585249
1549292399.17,1549292402.02,5_3,5_1,9_0,6_4,6_3,10_1,5_1,9_0,6_4,6_3,10_1,5_1,9_0,6_4,6_3,1549292400.180327,1549292404.966229,6_4,False,1549292404.966279,1549292404.966279
1549292414.88,1549292416.46,6_3,5_3,1_1,5_1,9_0,6_3,10_1,1_1,5_1,9_0,9_1,6_3,10_1,1_1,5_1,1549292414.616482,1549292416.575985,6_3,False,1549292416.576038,1549292416.576038
1549292424.15,1549292425.49,6_3,1_1,5_3,5_1,4_1,6_3,1_1,10_1,5_1,4_1,9_1,6_3,1_1,10_1,5_1,1549292423.643435,1549292425.420709,1_1,False,1549292425.420761,1549292425.420761
1549292439.59,1549292440.96,6_4,9_0,1_2,2_1,4_1,6_4,9_0,1_2,2_1,4_1,9_2,6_4,9_0,1_2,2_1,1549292439.11297,1549292442.71733,1_2,False,1549292442.717471,1549292442.717471
1549292448.76,1549292450.76,6_3,1_1,5_1,4_1,5_3,6_3,1_1,5_1,4_1,10_1,9_1,6_3,1_1,5_1,4_1,1549292448.913004,1549292450.824672,1_1,False,1549292450.824724,1549292450.824724
1549292462.26,1549292464.15,6_4,9_0,1_2,2_1,5_1,6_4,9_0,1_2,2_1,5_1,9_2,6_4,9_0,1_2,2_1,1549292462.294973,1549292468.243727,1_2,False,1549292468.243897,1549292468.243897
1549292474.05,1549292476.12,6_3,5_1,9_0,5_3,1_1,6_3,5_1,9_0,10_1,1_1,9_1,6_3,5_1,9_0,10_1,1549292474.270482,1549292477.924077,6_3,False,1549292477.924129,1549292477.924129
