2018-07-30 18:21:05.998000

2_1_S4_L8_Flip_Vertical.xef :  [num_images: 1927, video_time: 100.446000044, FPS: 19]
3_1_S4_L8_Rotate_CW.xef :  [num_images: 1887, video_time: 96.9359999599, FPS: 19]
3_2_S4_L8_Rotate_CCW.xef :  [num_images: 1961, video_time: 104.296999826, FPS: 18]
4_1_S4_L8_Zoom_In.xef :  [num_images: 1815, video_time: 96.4929995899, FPS: 18]
4_2_S4_L8_Zoom_Out.xef :  [num_images: 1633, video_time: 86.5950001411, FPS: 18]
5_1_S4_L8_SwitchPanel_Left.xef :  [num_images: 1566, video_time: 84.6599999084, FPS: 18]
5_2_S4_L8_SwitchPanel_Right.xef :  [num_images: 1376, video_time: 71.7830000896, FPS: 19]
5_3_S4_L8_SwitchPanel_Up.xef :  [num_images: 1519, video_time: 80.7740001354, FPS: 18]
5_4_S4_L8_SwitchPanel_Down.xef :  [num_images: 1603, video_time: 84.3720002365, FPS: 18]
6_1_S4_L8_Pan_Left.xef :  [num_images: 1478, video_time: 79.4740000992, FPS: 18]
6_2_S4_L8_Pan_Right.xef :  [num_images: 1300, video_time: 67.8669998741, FPS: 19]
6_3_S4_L8_Pan_Up.xef :  [num_images: 1395, video_time: 77.0779995937, FPS: 18]
6_4_S4_L8_Pan_Down.xef :  [num_images: 1482, video_time: 79.1240001049, FPS: 18]
7_1_S4_L8_Ruler_Measure.xef :  [num_images: 1384, video_time: 74.0669999676, FPS: 18]
7_2_S4_L8_Ruler_Delete.xef :  [num_images: 1543, video_time: 83.11400037, FPS: 18]
8_1_S4_L8_PIW_Open.xef :  [num_images: 1329, video_time: 70.4640000057, FPS: 18]
8_2_S4_L8_PIW_Close.xef :  [num_images: 1424, video_time: 74.94000037, FPS: 19]
9_1_S4_L8_ManualContrast_Increase.xef :  [num_images: 1418, video_time: 76.018999754, FPS: 18]
9_2_S4_L8_ManualContrast_Decrease.xef :  [num_images: 1300, video_time: 68.4640000229, FPS: 18]
10_0_S5_L2_Layout_X.xef :  [num_images: 2315, video_time: 114.106000193, FPS: 20]
10_1_S5_L2_X_OnePanel.xef :  [num_images: 2140, video_time: 104.031999884, FPS: 20]
10_2_S5_L2_X_TwoPanels.xef :  [num_images: 2236, video_time: 108.304999994, FPS: 20]
10_3_S5_L2_X_ThreePanels.xef :  [num_images: 2345, video_time: 116.821000425, FPS: 20]
10_4_S5_L2_X_FourPanels.xef :  [num_images: 2518, video_time: 124.379999809, FPS: 20]
11_0_S5_L2_ContrastPresets_X.xef :  [num_images: 1476, video_time: 72.3750003109, FPS: 20]
11_2_S5_L2_X_StdTwo.xef :  [num_images: 1326, video_time: 64.3809998112, FPS: 20]
1_1_S5_L2_Scroll_Up.xef :  [num_images: 1916, video_time: 94.4020004349, FPS: 20]
1_2_S5_L2_Scroll_Down.xef :  [num_images: 1728, video_time: 83.7200001678, FPS: 20]
2_1_S5_L2_Flip_Horizontal.xef :  [num_images: 1760, video_time: 85.6609996548, FPS: 20]
2_2_S5_L2_Flip_Vertical.xef :  [num_images: 1906, video_time: 90.122000103, FPS: 21]
3_1_S5_L2_Rotate_CW.xef :  [num_images: 1854, video_time: 91.0549996796, FPS: 20]
3_2_S5_L2_Rotate_CCW.xef :  [num_images: 2018, video_time: 99.4130002308, FPS: 20]
4_1_S5_L2_Zoom_In.xef :  [num_images: 1940, video_time: 94.1300002213, FPS: 20]
4_2_S5_L2_Zoom_Out.xef :  [num_images: 1940, video_time: 93.1769999866, FPS: 20]
5_0_S5_L2_SwitchPanel_X.xef :  [num_images: 1773, video_time: 87.1870000038, FPS: 20]
5_1_S5_L2_X_Left.xef :  [num_images: 1700, video_time: 81.462999939, FPS: 20]
5_2_S5_L2_X_Right.xef :  [num_images: 1768, video_time: 88.4170000134, FPS: 19]
5_3_S5_L2_X_Up.xef :  [num_images: 1526, video_time: 74.6280003052, FPS: 20]
5_4_S5_L2_X_Down.xef :  [num_images: 1566, video_time: 77.3920000172, FPS: 20]
6_0_S5_L2_Pan_X.xef :  [num_images: 1570, video_time: 74.9690001831, FPS: 20]
6_1_S5_L2_X_Left.xef :  [num_images: 1865, video_time: 91.7130001278, FPS: 20]
6_2_S5_L2_X_Right.xef :  [num_images: 1935, video_time: 93.7400003452, FPS: 20]
6_3_S5_L2_X_Up.xef :  [num_images: 1788, video_time: 85.6389999752, FPS: 20]
6_4_S5_L2_X_Down.xef :  [num_images: 1597, video_time: 77.0610004349, FPS: 20]
7_1_S5_L2_Ruler_Measure.xef :  [num_images: 2795, video_time: 137.109000317, FPS: 20]
7_2_S5_L2_Ruler_Delete.xef :  [num_images: 1685, video_time: 83.2940003242, FPS: 20]
8_1_S5_L2_PIW_Open.xef :  [num_images: 1289, video_time: 64.0530000248, FPS: 20]
8_2_S5_L2_PIW_Close.xef :  [num_images: 1619, video_time: 79.1399995975, FPS: 20]
9_0_S5_L2_ManualContrast_X.xef :  [num_images: 1738, video_time: 83.5919998512, FPS: 20]
9_1_S5_L2_X_Increase.xef :  [num_images: 1674, video_time: 82.3320000935, FPS: 20]
9_2_S5_L2_X_Decrease.xef :  [num_images: 1739, video_time: 85.1739998398, FPS: 20]
10_0_S5_L3_Layout_X.xef :  [num_images: 1439, video_time: 71.4989996185, FPS: 20]
10_1_S5_L3_X_OnePanel.xef :  [num_images: 1179, video_time: 57.8919995575, FPS: 20]
10_2_S5_L3_X_TwoPanels.xef :  [num_images: 1306, video_time: 63.9970001583, FPS: 20]
10_3_S5_L3_X_ThreePanels.xef :  [num_images: 1272, video_time: 63.5269999065, FPS: 20]
10_4_S5_L3_X_FourPanels.xef :  [num_images: 1315, video_time: 66.1689999447, FPS: 19]
11_0_S5_L3_ContrastPresets_X.xef :  [num_images: 1557, video_time: 78.7579998569, FPS: 19]
1_0_S5_L3_Scroll_X.xef :  [num_images: 2026, video_time: 97.6480002365, FPS: 20]
1_1_S5_L3_X_Up.xef :  [num_images: 1787, video_time: 88.3790001888, FPS: 20]
1_2_S5_L3_X_Down.xef :  [num_images: 1770, video_time: 87.278999773, FPS: 20]
2_0_S5_L3_Flip_X.xef :  [num_images: 2172, video_time: 106.979000196, FPS: 20]
2_1_S5_L3_X_Horizontal.xef :  [num_images: 1614, video_time: 79.530999918, FPS: 20]
2_2_S5_L3_X_Vertical.xef :  [num_images: 1465, video_time: 72.622000288, FPS: 20]
3_0_S5_L3_Rotate_X.xef :  [num_images: 1488, video_time: 74.1230003395, FPS: 20]
3_1_S5_L3_X_CW.xef :  [num_images: 1665, video_time: 82.8439998302, FPS: 20]
3_2_S5_L3_X_CCW.xef :  [num_images: 1631, video_time: 81.6289999046, FPS: 19]
4_0_S5_L3_Zoom_X.xef :  [num_images: 1692, video_time: 83.1420002041, FPS: 20]
4_1_S5_L3_X_In.xef :  [num_images: 1659, video_time: 81.9820000515, FPS: 20]
4_2_S5_L3_X_Out.xef :  [num_images: 1518, video_time: 75.2359996948, FPS: 20]
5_0_S5_L3_SwitchPanel_X.xef :  [num_images: 1522, video_time: 75.2250003681, FPS: 20]
5_1_S5_L3_X_Left.xef :  [num_images: 1628, video_time: 81.6709998741, FPS: 19]
5_2_S5_L3_X_Right.xef :  [num_images: 1731, video_time: 84.9629999886, FPS: 20]
5_3_S5_L3_X_Up.xef :  [num_images: 1598, video_time: 78.4200000687, FPS: 20]
5_4_S5_L3_X_Down.xef :  [num_images: 1494, video_time: 75.1699999313, FPS: 19]
6_0_S5_L3_Pan_X.xef :  [num_images: 1593, video_time: 78.7599998531, FPS: 20]
6_1_S5_L3_X_Left.xef :  [num_images: 1669, video_time: 83.9380000076, FPS: 19]
6_2_S5_L3_X_Right.xef :  [num_images: 1608, video_time: 79.8149999409, FPS: 20]
6_3_S5_L3_X_Up.xef :  [num_images: 1769, video_time: 88.5370001278, FPS: 19]
6_4_S5_L3_X_Down.xef :  [num_images: 1211, video_time: 58.6230000439, FPS: 20]
7_1_S5_L3_X_Measure.xef :  [num_images: -1, video_time: -1, FPS: -1]
7_2_S5_L3_X_Delete.xef :  [num_images: 1563, video_time: 79.492000351, FPS: 19]
8_0_S5_L3_PIW_X.xef :  [num_images: 2094, video_time: 107.554000105, FPS: 19]
8_1_S5_L3_X_Open.xef :  [num_images: 1518, video_time: 79.5780001125, FPS: 19]
8_2_S5_L3_X_Close.xef :  [num_images: 1624, video_time: 85.0960000553, FPS: 19]
9_0_S5_L3_ManualContrast_X.xef :  [num_images: 1488, video_time: 77.6619994698, FPS: 19]
9_1_S5_L3_X_Increase.xef :  [num_images: 1415, video_time: 72.7169995728, FPS: 19]
9_2_S5_L3_X_Decrease.xef :  [num_images: 1365, video_time: 70.622000267, FPS: 19]
10_2_S5_L6_X_TwoPanels.xef :  [num_images: 1655, video_time: 89.2650000114, FPS: 18]
10_3_S5_L6_X_ThreePanels.xef :  [num_images: 1703, video_time: 91.0510000496, FPS: 18]
10_4_S5_L6_X_FourPanels.xef :  [num_images: 1741, video_time: 91.949000042, FPS: 18]
