2018-07-28 19:14:24.982000

5_1_S1_L8_SwitchPanel_Left.xef :  [num_images: 1527, video_time: 71.2229999065, FPS: 21]
5_2_S1_L8_SwitchPanel_Right.xef :  [num_images: 1483, video_time: 69.631000351, FPS: 21]
5_3_S1_L8_SwitchPanel_Up.xef :  [num_images: 1550, video_time: 74.9070001087, FPS: 20]
5_4_S1_L8_SwitchPanel_Down.xef :  [num_images: 1457, video_time: 70.2019999275, FPS: 20]
6_1_S1_L8_Pan_Left.xef :  [num_images: 1662, video_time: 80.6849998684, FPS: 20]
6_2_S1_L8_Pan_Right.xef :  [num_images: 1545, video_time: 76.3319999237, FPS: 20]
6_3_S1_L8_Pan_Up.xef :  [num_images: 1631, video_time: 78.7550001354, FPS: 20]
6_4_S1_L8_Pan_Down.xef :  [num_images: 1493, video_time: 70.8940002022, FPS: 21]
7_1_S1_L8_Ruler_Measure.xef :  [num_images: 1583, video_time: 77.4390003414, FPS: 20]
7_2_S1_L8_Ruler_Delete.xef :  [num_images: 1854, video_time: 91.7449999866, FPS: 20]
8_1_S1_L8_PIW_Open.xef :  [num_images: 1551, video_time: 75.6280000668, FPS: 20]
8_2_S1_L8_PIW_Close.xef :  [num_images: 1652, video_time: 79.5330001087, FPS: 20]
9_1_S1_L8_ManualContrast_Increase.xef :  [num_images: 1711, video_time: 83.8000003681, FPS: 20]
9_2_S1_L8_ManualContrast_Decrease.xef :  [num_images: 1661, video_time: 82.5950001469, FPS: 20]
2_0_S2_L10_Flip_X.xef :  [num_images: 1438, video_time: 71.2160000725, FPS: 20]
2_1_S2_L10_X_Horizontal.xef :  [num_images: 1124, video_time: 54.0610001507, FPS: 20]
2_2_S2_L10_X_Vertical.xef :  [num_images: 1385, video_time: 66.8570001068, FPS: 20]
11_1_S2_L11_ContrastPresets_StdOne.xef :  [num_images: 1317, video_time: 62.6600001125, FPS: 21]
11_2_S2_L11_ContrastPresets_StdTwo.xef :  [num_images: 1423, video_time: 68.016999855, FPS: 20]
2_0_S2_L11_Flip_X.xef :  [num_images: 1619, video_time: 77.9599995689, FPS: 20]
2_1_S2_L11_Flip_Horizontal.xef :  [num_images: 1501, video_time: 73.563999939, FPS: 20]
7_1_S2_L11_Ruler_Measure.xef :  [num_images: 1348, video_time: 67.9169999237, FPS: 19]
7_2_S2_L11_Ruler_Delete.xef :  [num_images: 1636, video_time: 79.6940000572, FPS: 20]
9_1_S2_L11_ManualContrast_Increase.xef :  [num_images: 1379, video_time: 66.3990001602, FPS: 20]
9_2_S2_L11_ManualContrast_Decrease.xef :  [num_images: 1443, video_time: 68.8759998169, FPS: 20]
10_0_S2_L2_Layout_X.xef :  [num_images: 2393, video_time: 92.3910002918, FPS: 25]
10_1_S2_L2_X_OnePanel.xef :  [num_images: 2419, video_time: 94.3550002613, FPS: 25]
10_2_S2_L2_X_TwoPanels.xef :  [num_images: 2564, video_time: 98.5239997501, FPS: 26]
10_3_S2_L2_X_ThreePanels.xef :  [num_images: 2627, video_time: 106.089000296, FPS: 24]
10_4_S2_L2_X_FourPanels.xef :  [num_images: 2950, video_time: 108.602999922, FPS: 27]
11_0_S2_L2_ContrastPresets_X.xef :  [num_images: 1857, video_time: 70.7059999599, FPS: 26]
11_2_S2_L2_X_StdTwo.xef :  [num_images: 1034, video_time: 39.8529995384, FPS: 25]
1_1_S2_L2_Scroll_Up.xef :  [num_images: 685, video_time: 37.0280001945, FPS: 18]
1_2_S2_L2_Scroll_Down.xef :  [num_images: -1, video_time: -1, FPS: -1]
2_1_S2_L2_Flip_Horizontal.xef :  [num_images: -1, video_time: -1, FPS: -1]
2_2_S2_L2_Flip_Vertical.xef :  [num_images: -1, video_time: -1, FPS: -1]
3_1_S2_L2_Rotate_CW.xef :  [num_images: -1, video_time: -1, FPS: -1]
3_2_S2_L2_Rotate_CCW.xef :  [num_images: -1, video_time: -1, FPS: -1]
4_1_S2_L2_Zoom_In.xef :  [num_images: -1, video_time: -1, FPS: -1]
4_2_S2_L2_Zoom_Out.xef :  [num_images: -1, video_time: -1, FPS: -1]
5_0_S2_L2_SwitchPanel_X.xef :  [num_images: -1, video_time: -1, FPS: -1]
5_1_S2_L2_X_Left.xef :  [num_images: -1, video_time: -1, FPS: -1]
5_2_S2_L2_X_Right.xef :  [num_images: -1, video_time: -1, FPS: -1]
5_3_S2_L2_X_Up.xef :  [num_images: -1, video_time: -1, FPS: -1]
5_4_S2_L2_X_Down.xef :  [num_images: -1, video_time: -1, FPS: -1]
6_0_S2_L2_Pan_X.xef :  [num_images: -1, video_time: -1, FPS: -1]
6_1_S2_L2_X_Left.xef :  [num_images: -1, video_time: -1, FPS: -1]
6_2_S2_L2_X_Right.xef :  [num_images: -1, video_time: -1, FPS: -1]
6_3_S2_L2_X_Up.xef :  [num_images: -1, video_time: -1, FPS: -1]
6_4_S2_L2_X_Down.xef :  [num_images: -1, video_time: -1, FPS: -1]
7_1_S2_L2_Ruler_Measure.xef : 
